participantId,trialId,trialOrder,responseId,status,rejectReason,description,rejectTime,percentComplete,instruction,responsePrompt,answer,correctAnswer,duration,cleanedDuration,parameters_responseId,parameters_expLang,parameters_taskid,parameters_plateIndex,parameters_correctResponse,parameters_imagePath,parameters_conceptA,parameters_conceptB,parameters_colorA,parameters_colorB,parameters_mgLevel,parameters_usLevel,parameters_pairId,parameters_trialIndex,parameters_swapIndex,parameters_tallerSide,parameters_resetButtonLabel,parameters_seconds,parameters_title,parameters_message
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_8","10","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":8,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-8.png"",""responseRaw"":""16"",""responseNormalized"":""16"",""correctResponse"":""16"",""correctNormalized"":""16"",""isCorrect"":true,""timestamp"":""2026-02-23T06:44:42.899Z""}","undefined","20976","20976","undefined","fr","ishiharaResponse","8","16","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-8.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_8","10","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_7","11","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":7,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-7.png"",""responseRaw"":""2"",""responseNormalized"":""2"",""correctResponse"":""2"",""correctNormalized"":""2"",""isCorrect"":true,""timestamp"":""2026-02-23T06:45:02.659Z""}","undefined","27836","27836","undefined","fr","ishiharaResponse","7","2","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-7.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_7","11","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_1","12","ishiharaResponse","in progress","undefined","undefined","undefined","98.77","undefined","Ishihara plate response","{""plateIndex"":1,""imagePath"":""https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-1.png"",""responseRaw"":""8"",""responseNormalized"":""8"",""correctResponse"":""8"",""correctNormalized"":""8"",""isCorrect"":true,""timestamp"":""2026-02-23T06:45:17.543Z""}","undefined","3305","3305","undefined","fr","ishiharaResponse","1","8","https://wpivis.github.io/color-exp2/color-exp2/assets/ishihara/ishihara-1.png","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","ishihara_plate_1","12","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":0,""mousedown"":0,""mouseup"":0,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","instruction","13","","in progress","undefined","undefined","undefined","98.77","undefined","undefined","undefined","undefined","22346","22346","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","instruction","13","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":0,""input"":0,""keydown"":1,""keyup"":1,""mousemove"":37,""mousedown"":1,""mouseup"":0,""resize"":0,""scroll"":2,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p0_s1_tl","14","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_heureux"":""WH"",""concept_en_colère"":""MH""},""conceptA"":{""id"":""concept_en_colère"",""text"":""en colère"",""chosenColorCode"":""MH""},""conceptB"":{""id"":""concept_heureux"",""text"":""heureux"",""chosenColorCode"":""WH""},""responseTime"":14173,""lastEditTime"":14173,""poolOrder"":1,""trialIndex"":2,""pairId"":""MG_HIGH_US_LOW_angry_happy_MH_WH"",""mgLevel"":""MG_HIGH"",""usLevel"":""US_LOW"",""leftColorCode"":""WH"",""rightColorCode"":""MH"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":146,""shortHeight"":95,""leftHeight"":146,""rightHeight"":95}","undefined","16631","16631","undefined","undefined","undefined","undefined","undefined","undefined","en colère","heureux","MH","WH","MG_HIGH","US_LOW","MG_HIGH_US_LOW_angry_happy_MH_WH","2","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p0_s1_tl","14","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":26,""mousedown"":3,""mouseup"":1,""resize"":0,""scroll"":1,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p11_s0_tr","15","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_justice"":""BK"",""concept_sécurité"":""SG""},""conceptA"":{""id"":""concept_justice"",""text"":""justice"",""chosenColorCode"":""BK""},""conceptB"":{""id"":""concept_sécurité"",""text"":""sécurité"",""chosenColorCode"":""SG""},""responseTime"":14574,""lastEditTime"":14574,""poolOrder"":0,""trialIndex"":45,""pairId"":""MG_LOW_US_HIGH_justice_safety_BK_SG"",""mgLevel"":""MG_LOW"",""usLevel"":""US_HIGH"",""leftColorCode"":""BK"",""rightColorCode"":""SG"",""swapIndex"":0,""tallerSide"":""right"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":148,""shortHeight"":103,""leftHeight"":103,""rightHeight"":148}","undefined","15714","15714","undefined","undefined","undefined","undefined","undefined","undefined","justice","sécurité","BK","SG","MG_LOW","US_HIGH","MG_LOW_US_HIGH_justice_safety_BK_SG","45","0","right","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p11_s0_tr","15","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":18,""mousedown"":3,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p7_s1_tl","16","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_malade"":""DC"",""concept_triste"":""A3""},""conceptA"":{""id"":""concept_triste"",""text"":""triste"",""chosenColorCode"":""A3""},""conceptB"":{""id"":""concept_malade"",""text"":""malade"",""chosenColorCode"":""DC""},""responseTime"":8834,""lastEditTime"":8834,""poolOrder"":0,""trialIndex"":30,""pairId"":""MG_LOW_US_LOW_sad_sick_A3_DC"",""mgLevel"":""MG_LOW"",""usLevel"":""US_LOW"",""leftColorCode"":""DC"",""rightColorCode"":""A3"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":155,""shortHeight"":103,""leftHeight"":155,""rightHeight"":103}","undefined","10107","10107","undefined","undefined","undefined","undefined","undefined","undefined","triste","malade","A3","DC","MG_LOW","US_LOW","MG_LOW_US_LOW_sad_sick_A3_DC","30","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p7_s1_tl","16","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":29,""mousedown"":4,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p11_s1_tl","17","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_justice"":""SG"",""concept_sécurité"":""BK""},""conceptA"":{""id"":""concept_justice"",""text"":""justice"",""chosenColorCode"":""SG""},""conceptB"":{""id"":""concept_sécurité"",""text"":""sécurité"",""chosenColorCode"":""BK""},""responseTime"":15286,""lastEditTime"":15286,""poolOrder"":1,""trialIndex"":46,""pairId"":""MG_LOW_US_HIGH_justice_safety_BK_SG"",""mgLevel"":""MG_LOW"",""usLevel"":""US_HIGH"",""leftColorCode"":""SG"",""rightColorCode"":""BK"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":145,""shortHeight"":102,""leftHeight"":145,""rightHeight"":102}","undefined","16154","16154","undefined","undefined","undefined","undefined","undefined","undefined","justice","sécurité","BK","SG","MG_LOW","US_HIGH","MG_LOW_US_HIGH_justice_safety_BK_SG","46","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p11_s1_tl","17","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":20,""mousedown"":3,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p8_s1_tl","18","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_justice"":""MO"",""concept_paix"":""MC""},""conceptA"":{""id"":""concept_justice"",""text"":""justice"",""chosenColorCode"":""MO""},""conceptB"":{""id"":""concept_paix"",""text"":""paix"",""chosenColorCode"":""MC""},""responseTime"":14065,""lastEditTime"":14065,""poolOrder"":1,""trialIndex"":34,""pairId"":""MG_LOW_US_LOW_justice_peace_MC_MO"",""mgLevel"":""MG_LOW"",""usLevel"":""US_LOW"",""leftColorCode"":""MO"",""rightColorCode"":""MC"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":147,""shortHeight"":96,""leftHeight"":147,""rightHeight"":96}","undefined","15544","15544","undefined","undefined","undefined","undefined","undefined","undefined","justice","paix","MC","MO","MG_LOW","US_LOW","MG_LOW_US_LOW_justice_peace_MC_MO","34","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p8_s1_tl","18","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":39,""mousedown"":4,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p2_s1_tl","19","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_heureux"":""SO"",""concept_malade"":""DP""},""conceptA"":{""id"":""concept_heureux"",""text"":""heureux"",""chosenColorCode"":""SO""},""conceptB"":{""id"":""concept_malade"",""text"":""malade"",""chosenColorCode"":""DP""},""responseTime"":5400,""lastEditTime"":5400,""poolOrder"":1,""trialIndex"":10,""pairId"":""MG_HIGH_US_LOW_happy_sick_DP_SO"",""mgLevel"":""MG_HIGH"",""usLevel"":""US_LOW"",""leftColorCode"":""SO"",""rightColorCode"":""DP"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":145,""shortHeight"":101,""leftHeight"":145,""rightHeight"":101}","undefined","7985","7985","undefined","undefined","undefined","undefined","undefined","undefined","heureux","malade","DP","SO","MG_HIGH","US_LOW","MG_HIGH_US_LOW_happy_sick_DP_SO","10","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p2_s1_tl","19","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":17,""mousedown"":3,""mouseup"":1,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p9_s1_tl","20","choice","in progress","undefined","undefined","undefined","98.77","undefined","","{""assignments"":{""concept_mangue"":""SY"",""concept_banane"":""MO""},""conceptA"":{""id"":""concept_banane"",""text"":""banane"",""chosenColorCode"":""MO""},""conceptB"":{""id"":""concept_mangue"",""text"":""mangue"",""chosenColorCode"":""SY""},""responseTime"":8137,""lastEditTime"":8137,""poolOrder"":0,""trialIndex"":38,""pairId"":""MG_LOW_US_HIGH_banana_mango_MO_SY"",""mgLevel"":""MG_LOW"",""usLevel"":""US_HIGH"",""leftColorCode"":""SY"",""rightColorCode"":""MO"",""swapIndex"":1,""tallerSide"":""left"",""baseTall"":150,""baseShort"":100,""jitter"":5,""tallHeight"":146,""shortHeight"":100,""leftHeight"":146,""rightHeight"":100}","undefined","9143","9143","undefined","undefined","undefined","undefined","undefined","undefined","banane","mangue","MO","SY","MG_LOW","US_HIGH","MG_LOW_US_HIGH_banana_mango_MO_SY","38","1","left","Effacer","undefined","undefined","undefined"
"09b12105-8844-4979-b829-450cea06e9ee","p9_s1_tl","20","windowEvents","undefined","undefined","undefined","undefined","undefined","undefined","undefined","{""focus"":1,""input"":0,""keydown"":0,""keyup"":0,""mousemove"":16,""mousedown"":4,""mouseup"":2,""resize"":0,""scroll"":0,""visibility"":0}","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
