profession,expLang,expName,grayScale,gender,countryResLongest,prolificID,tutoValues,sessionID,languageNative,countryRes,languageOther,languageOther__001,languageOther__002,languageOther__003,colorblind,expCountry,countryResLen,age,progressBlock,progressColor
student,fr,color1,10,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":90,""concept"":""triste""}]",20240318-1111-40760,mlg,mdg,NA,fra,,,Non,mdg3,18,18,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SB"",""ans"":7,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":100,""concept"":""banane""}]",20240318-1111-44174,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
student,fr,color1,9,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":76,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":51,""concept"":""heureux""}]",20240318-1114-1764,mlg,mdg,NA,fra,,,Non,mdg3,23,23,14,37
student,fr,color1,5,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""MO"",""ans"":100,""concept"":""arbre""}]",20240318-1119-18954,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,21,21,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":4,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""foudre""}]",20240318-1129-44261,mlg,mdg,NA,fra,,,Non,mdg3,23,23,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":99,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SC"",""ans"":2,""concept"":""pêche""}]",20240318-1134-47669,mlg,mdg,NA,fra,,,Non,mdg3,19,19,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":75,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":15,""concept"":""triste""}]",20240318-1146-49211,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
infographiste,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SY"",""ans"":100,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""en colère""}]",20240318-1155-9422,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,30,37,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":24,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""heureux""}]",20240318-118-3727,mlg,mdg,NA,fra,spa,,Non,mdg3,24,24,14,6
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":30,""concept"":""arbre""},{""tryOut"":2,""qualifier"":""least"",""color"":""MO"",""ans"":40,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SH"",""ans"":59,""concept"":""mangue""}]",20240318-1213-2689,mlg,mdg,NA,fra,,,Non,mdg3,19,19,14,36
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SR"",""ans"":100,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":19,""concept"":""mort""}]",20240318-128-1978,mlg,mdg,NA,fra,,,Non,mdg3,20,20,12,2
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""MC"",""ans"":40,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":74,""concept"":""arbre""}]",20240318-129-0335,mlg,mdg,NA,fra,,,Non,mdg3,24,24,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SH"",""ans"":100,""concept"":""pêche""},{""tryOut"":3,""qualifier"":""most"",""color"":""WH"",""ans"":100,""concept"":""justice""},{""tryOut"":4,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240318-1734-31209,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,2006,18,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""A3"",""ans"":100,""concept"":""malade""}]",20240318-945-53744,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,19,19,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""DP"",""ans"":0,""concept"":""banane""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":4,""concept"":""malade""}]",20240318-947-37960,mlg,mdg,NA,fra,,,Non,mdg3,18,18,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":0,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":98,""concept"":""triste""}]",20240318-951-14601,fra,mdg,NA,fra,,,Non,mdg3,20,20,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""heureux""},{""tryOut"":3,""qualifier"":""most"",""color"":""SG"",""ans"":100,""concept"":""arbre""}]",20240405-1025-2423,mlg,mdg,NA,fra,eng,,Non,mdg3,31,31,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":8,""concept"":""malade""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":93,""concept"":""banane""}]",20240405-1028-8261,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
secretaire,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":1,""concept"":""mangue""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""}]",20240405-1124-59359,mlg,mdg,NA,mlg,fra,,Non,mdg3,33,33,14,37
medecin,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":0,""concept"":""sécurité""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""tempête de sable""}]",20240405-1126-1717,mlg,mdg,NA,fra,,,Non,mdg3,20,20,14,37
chauffeur,fr,color1,11,male,fra,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SG"",""ans"":17,""concept"":""arbre""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240405-113-32460,mlg,mdg,NA,fra,,,Non,mdg3,3,21,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":4,""concept"":""justice""},{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":1,""concept"":""justice""},{""tryOut"":3,""qualifier"":""most"",""color"":""SR"",""ans"":100,""concept"":""en colère""}]",20240405-1211-22182,mlg,mdg,NA,fra,,,Non,mdg3,24,24,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""SP"",""ans"":91,""concept"":""triste""},{""tryOut"":3,""qualifier"":""most"",""color"":""LO"",""ans"":79,""concept"":""tempête de sable""}]",20240405-124-52195,mlg,mdg,NA,fra,,,Non,mdg3,19,19,14,37
student,fr,color1,11,male,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""WH"",""ans"":100,""concept"":""peace""},{""tryOut"":3,""qualifier"":""most"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":4,""qualifier"":""least"",""color"":""SG"",""ans"":100,""concept"":""arbre""},{""tryOut"":5,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240406-142-48821,mlg,mdg,NA,fra,,,Oui,mdg3,2002,22,14,37
student,fr,color1,11,female,mdg,NA,"[{""tryOut"":2,""qualifier"":""least"",""color"":""BK"",""ans"":100,""concept"":""mort""},{""tryOut"":3,""qualifier"":""most"",""color"":""SY"",""ans"":100,""concept"":""banane""}]",20240406-1433-42932,mlg,mdg,NA,fra,,,Je ne sais pas,mdg3,2004,20,14,37
